t_sec,fsm_state,cmd_x,cmd_y,cmd_yaw,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,projected_gravity_x,projected_gravity_y,projected_gravity_z,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_pos_12,dof_pos_13,dof_pos_14,dof_pos_15,dof_pos_16,dof_pos_17,dof_pos_18,dof_pos_19,dof_pos_20,dof_pos_target_0,dof_pos_target_1,dof_pos_target_2,dof_pos_target_3,dof_pos_target_4,dof_pos_target_5,dof_pos_target_6,dof_pos_target_7,dof_pos_target_8,dof_pos_target_9,dof_pos_target_10,dof_pos_target_11,dof_pos_target_12,dof_pos_target_13,dof_pos_target_14,dof_pos_target_15,dof_pos_target_16,dof_pos_target_17,dof_pos_target_18,dof_pos_target_19,dof_pos_target_20,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11,dof_vel_12,dof_vel_13,dof_vel_14,dof_vel_15,dof_vel_16,dof_vel_17,dof_vel_18,dof_vel_19,dof_vel_20,policy_delta_0,policy_delta_1,policy_delta_2,policy_delta_3,policy_delta_4,policy_delta_5,policy_delta_6,policy_delta_7,policy_delta_8,policy_delta_9,policy_delta_10,policy_delta_11,policy_delta_12,policy_delta_13,policy_delta_14,policy_delta_15,policy_delta_16,policy_delta_17,policy_delta_18,policy_delta_19,policy_delta_20,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20,root_pos_relative_z,cee_tangent_x,cee_tangent_y,cee_tangent_z,cee_normal_x,cee_normal_y,cee_normal_z,key_body_pos_relative_0,key_body_pos_relative_1,key_body_pos_relative_2,key_body_pos_relative_3,key_body_pos_relative_4,key_body_pos_relative_5,key_body_pos_relative_6,key_body_pos_relative_7,key_body_pos_relative_8,key_body_pos_relative_9,key_body_pos_relative_10,key_body_pos_relative_11,key_body_pos_relative_12,key_body_pos_relative_13,key_body_pos_relative_14,key_body_pos_relative_15,key_body_pos_relative_16,key_body_pos_relative_17,key_body_pos_relative_18,key_body_pos_relative_19,key_body_pos_relative_20,key_body_pos_relative_21,key_body_pos_relative_22,key_body_pos_relative_23,key_body_pos_relative_24,key_body_pos_relative_25,key_body_pos_relative_26,key_body_pos_relative_27,key_body_pos_relative_28,key_body_pos_relative_29,key_body_pos_relative_30,key_body_pos_relative_31,key_body_pos_relative_32,key_body_pos_relative_33,key_body_pos_relative_34,key_body_pos_relative_35,key_body_pos_relative_36,key_body_pos_relative_37,key_body_pos_relative_38,progress,
0.0002,RLFSMStatePassive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3000,-0.3000,0.0000,0.0500,-0.0500,0.0000,0.0040,-0.0040,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,-0.2000,-0.2000,0.0000,0.0000,-0.0600,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0204,RLFSMStatePassive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3000,-0.3000,0.0000,0.0500,-0.0500,0.0000,0.0040,-0.0040,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,-0.2000,-0.2000,0.0000,0.0000,-0.0600,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0406,RLFSMStatePassive,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3000,-0.3000,0.0000,0.0500,-0.0500,0.0000,0.0040,-0.0040,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,-0.2000,-0.2000,0.0000,0.0000,-0.0600,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0609,RLFSMStatePassive,0.0000,0.0000,0.0000,0.0207,-0.1391,-0.0592,0.9624,0.0097,0.0112,-0.2713,0.0269,-0.0125,-0.9996,0.0046,0.0046,-0.0107,-0.0031,-0.0046,0.0015,0.0000,-0.0031,0.0000,0.0015,-0.0031,0.0031,0.0031,-0.0046,0.0046,0.0000,0.0000,0.0077,0.0077,0.0000,0.0000,-0.3000,-0.3000,0.0000,0.0500,-0.0500,0.0000,0.0040,-0.0040,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,-0.2000,-0.2000,0.0000,0.0000,-0.0600,0.0600,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0813,RLFSMStatePassive,0.0000,0.0000,0.0000,0.0261,-0.1373,-0.0595,0.9622,0.0096,0.0100,-0.2720,0.0245,-0.0130,-0.9996,0.0046,0.0046,-0.0107,-0.0031,-0.0046,0.0015,0.0000,-0.0031,0.0000,0.0015,-0.0031,0.0031,0.0031,-0.0046,0.0046,-0.0015,0.0000,0.0077,0.0077,0.0000,0.0000,-0.3000,-0.3000,0.0000,0.0500,-0.0500,0.0000,0.0040,-0.0040,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,-0.2000,-0.2000,0.0000,0.0000,-0.0600,0.0600,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1017,RLFSMStatePassive,0.0000,0.0000,0.0000,0.0289,-0.1320,-0.0544,0.9621,0.0096,0.0094,-0.2723,0.0234,-0.0133,-0.9996,0.0046,0.0046,-0.0107,-0.0031,-0.0061,0.0015,0.0000,-0.0031,-0.0000,-0.0000,-0.0031,0.0031,0.0031,-0.0046,0.0046,-0.0046,-0.0015,0.0077,0.0077,-0.0031,0.0031,-0.3000,-0.3000,0.0000,0.0500,-0.0500,0.0000,0.0040,-0.0040,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,-0.2000,-0.2000,0.0000,0.0000,-0.0600,0.0600,-0.0000,0.0000,0.0000,0.0000,-0.0767,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0767,0.0000,-0.0000,-0.0000,-0.0000,-0.2300,-0.0000,-0.0000,-0.0000,-0.0767,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1221,RLFSMStatePassive,0.0000,0.0000,0.0000,0.0311,-0.0987,-0.0364,0.9620,0.0096,0.0084,-0.2728,0.0214,-0.0139,-0.9997,0.0000,-0.0015,-0.0107,0.0015,-0.0077,0.0015,0.0015,-0.0031,-0.0000,-0.0000,-0.0031,0.0077,0.0092,-0.0046,0.0046,-0.0107,-0.0092,0.0077,0.0077,-0.0107,0.0123,-0.3000,-0.3000,0.0000,0.0500,-0.0500,0.0000,0.0040,-0.0040,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,-0.2000,-0.2000,0.0000,0.0000,-0.0600,0.0600,-0.0767,-0.0767,0.0000,0.3066,-0.0767,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0767,0.0767,0.0767,-0.0000,-0.0000,-0.3833,-0.1533,-0.0000,-0.0000,-0.3066,0.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1425,RLFSMStatePassive,0.0000,0.0000,0.0000,0.0261,-0.0396,0.0000,0.9619,0.0098,0.0079,-0.2730,0.0206,-0.0144,-0.9997,-0.0107,-0.0123,-0.0107,0.0092,-0.0138,0.0015,0.0015,-0.0031,-0.0000,-0.0000,-0.0031,0.0184,0.0184,-0.0046,0.0046,-0.0230,-0.0199,0.0077,0.0077,-0.0215,0.0261,-0.3000,-0.3000,0.0000,0.0500,-0.0500,0.0000,0.0040,-0.0040,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,-0.2000,-0.2000,0.0000,0.0000,-0.0600,0.0600,-0.3833,-0.6132,0.0000,0.3833,-0.2300,-0.0000,0.0767,0.0000,-0.0000,-0.0000,-0.0767,0.3833,0.4599,-0.0000,-0.0000,-0.5366,-0.4599,-0.0000,-0.0000,-0.4599,0.5366,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1627,RLFSMStatePassive,0.0000,0.0000,0.0000,0.0257,0.0203,0.0505,0.9620,0.0100,0.0082,-0.2728,0.0213,-0.0148,-0.9997,-0.0245,-0.0276,-0.0107,0.0199,-0.0261,0.0015,0.0015,-0.0015,-0.0000,-0.0000,-0.0031,0.0307,0.0337,-0.0046,0.0046,-0.0368,-0.0337,0.0077,0.0077,-0.0353,0.0383,-0.3000,-0.3000,0.0000,0.0500,-0.0500,0.0000,0.0040,-0.0040,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,-0.2000,-0.2000,0.0000,0.0000,-0.0600,0.0600,-0.6132,-0.6899,0.0000,0.4599,-0.6132,-0.0000,0.0000,0.0767,-0.0000,-0.0000,-0.0767,0.5366,0.5366,-0.0000,-0.0000,-0.6899,-0.6132,-0.0000,-0.0000,-0.6132,0.6132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1830,RLFSMStatePassive,0.0000,0.0000,0.0000,0.0269,0.0467,0.0736,0.9621,0.0103,0.0086,-0.2725,0.0221,-0.0151,-0.9996,-0.0322,-0.0353,-0.0107,0.0261,-0.0322,0.0015,0.0015,-0.0015,-0.0000,-0.0000,-0.0031,0.0414,0.0414,-0.0046,0.0046,-0.0460,-0.0430,0.0077,0.0077,-0.0414,0.0430,-0.3000,-0.3000,0.0000,0.0500,-0.0500,0.0000,0.0040,-0.0040,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,-0.2000,-0.2000,0.0000,0.0000,-0.0600,0.0600,-0.6899,-0.6899,0.0000,0.4599,-0.6132,-0.0000,0.0000,0.0767,-0.0000,-0.0000,-0.0767,0.6899,0.7665,-0.0000,-0.0000,-0.6899,-0.6899,-0.0000,-0.0000,-0.6899,0.6132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
